,Restaurant,URL,Latitude,Longitude,Latitude & Longitude
0,Greenwich - Isetann Recto,https://food.grab.com/ph/en/restaurant/bonchon-legarda-available-for-long-distance-delivery-delivery/PHGFSTI000004jb,14.5995,120.9842,"14.5995,120.9842"
1,Turks - Recto,https://food.grab.com/ph/en/restaurant/popeyes-sm-manila-available-for-long-distance-delivery-delivery/2-CZMHAYAGMEC1SE,14.5995,120.9842,"14.5995,120.9842"
2,Classic Savory - SM Manila [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/boodle-inasal-x-happy-thirstday-sampaloc-available-for-long-distance-delivery-delivery/2-C2J3BF3DSA2YRX,14.5995,120.9842,"14.5995,120.9842"
3,Buffalo's Wings N' Things - SM Manila [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/tokyo-tokyo-sm-manila-available-for-long-distance-delivery-delivery/PHGFSTI0000018o,14.5995,120.9842,"14.5995,120.9842"
4,Chooks To Go - Legarda Street Manila,https://food.grab.com/ph/en/restaurant/wendy-s-sm-manila-available-for-long-distance-delivery-delivery/PHGFSTI0000018l,14.5995,120.9842,"14.5995,120.9842"
5,Goldilocks - SM Manila Foodshop,https://food.grab.com/ph/en/restaurant/david-s-tea-house-sta-cruz-available-for-long-distance-delivery-delivery/PHGFSTI0000019k,14.5995,120.9842,"14.5995,120.9842"
6,King Sisig - Isetann Recto [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/s-r-new-york-style-pizza-sm-manila-available-for-long-distance-delivery-delivery/AWj-WS3KfYWaYaQC48h5,14.5995,120.9842,"14.5995,120.9842"
7,Yi Fang Taiwan Fruit Tea - Binondo [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/mang-inasal-hidalgo-delivery/2-CZDEV76BTN4BLX,14.5995,120.9842,"14.5995,120.9842"
8,Pizza Hut - CM Recto [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/kenny-rogers-roasters-sm-manila-available-for-long-distance-delivery-delivery/PHGFSTI000001ek,14.5995,120.9842,"14.5995,120.9842"
9,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/wai-ying-fastfood-binondo-available-for-long-distance-delivery-delivery/2-C2MFREUZN6WKLN,14.5995,120.9842,"14.5995,120.9842"
10,Hap Chan - Tomas Mapua [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/jollibee-raon-delivery/2-CZC1EZEYACBTCX,14.5995,120.9842,"14.5995,120.9842"
11,Golden Fortune Seafood Restaurant - Binondo [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/mcdonald-s-isetann-recto-delivery/2-CZJGLA3CV4AJLT,14.5995,120.9842,"14.5995,120.9842"
12,Hong Kong Noodles & Dimsum House - Quiapo [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/kfc-good-earth-delivery/2-CYU3LAJUVJM1AN,14.5995,120.9842,"14.5995,120.9842"
13,Black Scoop Cafe - Legarda [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/chowking-paterno-delivery/2-CYMHN7KBGB4VJN,14.5995,120.9842,"14.5995,120.9842"
14,Sausage Supreme - Sampaloc [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/hot-star-large-fried-chicken-laperal-available-for-long-distance-delivery-delivery/PHGFSTI000000tp,14.5995,120.9842,"14.5995,120.9842"
15,Mr. Ube Rice and Noodle Haus - Ongpin Street [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/chuan-kee-turo-turo-ongpin-street-available-for-long-distance-delivery-delivery/2-CZNFE361TKDVGX,14.5995,120.9842,"14.5995,120.9842"
16,19 Degrees - Cloud Kitchen Binondo [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/tim-hortons-ceu-delivery/2-CZAHEABBVN3JRE,14.5995,120.9842,"14.5995,120.9842"
17,Kuya J Restaurant - SM Manila [Available for LONG-DISTANCE DELIVERY],https://food.grab.com/ph/en/restaurant/starbucks-pacific-center-binondo-available-for-long-distance-delivery-delivery/2-CY42TKKBTU4DA2,14.5995,120.9842,"14.5995,120.9842"
18,Andok's - Quiapo,https://food.grab.com/ph/en/restaurant/red-ribbon-binondo-delivery/2-CYTWMEXGLZDTGX,14.5995,120.9842,"14.5995,120.9842"
19,Zagu - Carriedo,https://food.grab.com/ph/en/restaurant/the-aristocrat-restaurant-sm-manila-available-for-long-distance-delivery-delivery/2-C2LGNT4HGCCBEN,14.5995,120.9842,"14.5995,120.9842"
